trial,session,model,effort,service_tier,notes_used,tools_inherited,tools_left,start,duration_s,timed_out,cmds_counted,moves_ok,gripper_cmds,failed_cmds,frames,tokens_input,tokens_cached_input,tokens_output,tokens_reasoning,agent_verdict,operator_verdict,remarks
01,20260906_205226_paper_dice_tools1_01,gpt-6-astra,high,default,none,4,0,2026-09-06 20:52:26,2254,no,137,40,16,12,69,10142691,9960832,15771,4172,success (agent),,
02,20260907_115609_paper_dice_tools1_02,gpt-6-astra,high,default,none,4,0,2026-09-07 11:56:09,3409,no,211,60,22,23,106,23572616,23166336,30586,11423,success (agent),,
03,20260909_173937_paper_dice_tools1_03,gpt-6-astra,high,default,none,4,0,2026-09-09 17:39:37,2913,no,215,71,22,15,108,20165462,19905536,24365,6073,success (agent),,
04,20260909_184200_paper_dice_tools1_04,gpt-6-astra,high,default,none,4,0,2026-09-09 18:42:00,3139,no,229,68,23,23,115,24967891,24453632,32107,10181,success (agent),,
05,20260909_194245_paper_dice_tools1_05,gpt-6-astra,high,default,none,4,0,2026-09-09 19:42:45,1403,no,151,50,16,9,76,13330631,13109120,20328,5393,success (agent),,
06,20260912_165135_paper_dice_tools1_06,gpt-6-astra,high,default,none,4,0,2026-09-12 16:51:35,2299,no,173,62,18,6,87,14465869,14101760,21601,5917,success (agent),,
07,20260912_173110_paper_dice_tools1_07,gpt-6-astra,high,default,none,4,0,2026-09-12 17:31:10,2074,no,179,56,18,15,90,16441928,16141056,22393,7400,success (agent),,
08,20260913_143338_paper_dice_tools1_08,gpt-6-astra,high,default,none,4,0,2026-09-13 14:33:38,1968,no,155,50,16,11,78,21078983,20672128,19178,4616,success (agent),,
09,20260913_151131_paper_dice_tools1_09,gpt-6-astra,high,default,none,4,0,2026-09-13 15:11:31,1638,no,147,48,17,8,74,11762202,11560576,17701,4449,success (agent),,
10,20260913_154408_paper_dice_tools1_10,gpt-6-astra,high,default,none,4,0,2026-09-13 15:44:08,2148,no,181,66,18,6,91,14611784,14267648,22428,5854,success (agent),,
