batch,config,trial,session,model,effort,tier,success,agent_verdict,session_min,task_min,timing_src,requests,max_req_input,tokens_input,tokens_cached,tokens_cache_write,tokens_output,tokens_reasoning,tokens_total_k,cost_std_usd,cost_tier_usd,rollout
pyramid_tools1,pyramid,01,20260904_155618_paper_pyramid_tools1_01,gpt-6-astra,high,fast,1,unclear,17.55,16.8,trace,97,119218,6348524,6225792,0,14301,3144,6362.8,8.168,16.336,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T15-56-20-01a06ea3-23ea-7942-9c56-5bfec2f270ce.jsonl
pyramid_tools1,pyramid,02,20260904_161611_paper_pyramid_tools1_02,gpt-6-astra,high,fast,1,unclear,23.8,23.22,trace,89,171130,8639214,8457344,0,17461,4869,8656.7,11.149,22.298,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T16-16-13-01a06eb5-5790-7e01-9f9e-a64455faf6a8.jsonl
pyramid_tools1,pyramid,03,20260904_164513_paper_pyramid_tools1_03,gpt-6-astra,high,fast,1,unclear,28.82,26.93,trace,107,204188,11105561,10723968,0,14796,5949,11120.4,15.28,30.559,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T16-45-16-01a06ecf-f0f2-7213-998e-5281e74d2b35.jsonl
pyramid_tools1,pyramid,04,20260904_171625_paper_pyramid_tools1_04,gpt-6-astra,high,fast,1,unclear,15.57,14.87,trace,93,120407,6255375,6124800,0,11546,1747,6266.9,8.008,16.016,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T17-16-28-01a06eec-8152-7a50-8a94-838e25ca6e6b.jsonl
pyramid_tools1,pyramid,05,20260904_173848_paper_pyramid_tools1_05,gpt-6-astra,high,fast,1,unclear,33.3,32.25,trace,146,154673,12920603,12757376,0,15948,4387,12936.6,15.187,30.374,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T17-38-51-01a06f00-ff3e-72f1-867a-10073bcdba7d.jsonl
pyramid_tools1,pyramid,06,20260904_181345_paper_pyramid_tools1_06,gpt-6-astra,high,fast,1,success,20.82,19.98,trace,92,236825,11128630,10867072,0,16453,4737,11145.1,14.305,28.611,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T18-13-48-01a06f20-fe00-7610-aa42-ca193284a7b9.jsonl
pyramid_tools1,pyramid,07,20260904_184812_paper_pyramid_tools1_07,gpt-6-astra,high,fast,1,unclear,17.55,16.97,trace,96,124716,6839973,6711424,0,13708,2893,6853.7,8.682,17.365,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T18-48-15-01a06f40-8993-7403-80e8-879acd123e6c.jsonl
pyramid_tools1,pyramid,08,20260904_195435_paper_pyramid_tools1_08,gpt-6-astra,high,fast,1,success,18.55,17.89,trace,114,148323,9233291,9077248,0,12471,3000,9245.8,11.261,22.522,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T19-54-37-01a06f7d-4dac-7201-88dc-2f2c5b65be59.jsonl
pyramid_tools1,pyramid,09,20260904_201514_paper_pyramid_tools1_09,gpt-6-astra,high,fast,1,unclear,24.82,24.15,trace,115,165259,9929938,9736704,0,23165,6747,9953.1,12.827,25.655,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T20-15-17-01a06f90-379a-7e53-a480-708c10f7e31b.jsonl
pyramid_tools1,pyramid,10,20260904_204355_paper_pyramid_tools1_10,gpt-6-astra,high,fast,1,success,23.05,22.44,trace,118,149021,9842687,9687168,0,15416,4658,9858.1,12.013,24.026,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T20-43-57-01a06faa-7672-7d61-80e3-6ed2c4d2bc50.jsonl
twopiles_tools1,two towers,01,20260904_215438_paper_twopiles_tools1_01,gpt-6-astra,high,default,1,success,21.82,20.98,trace,98,130394,7598951,7460608,0,14590,2334,7613.5,9.574,9.574,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T21-54-41-01a06feb-3774-7820-9161-00d38379dba6.jsonl
twopiles_tools1,two towers,02,20260904_232204_paper_twopiles_tools1_02,gpt-6-astra,high,default,1,unclear,20.3,19.42,trace,102,135994,7789874,7650816,0,12786,2614,7802.7,9.681,9.681,<HOME>/.codex/sessions/2026/09/04/rollout-2026-09-04T23-22-06-01a0703b-4166-79d3-8545-fcd7671ba170.jsonl
twopiles_tools1,two towers,03,20260905_000722_paper_twopiles_tools1_03,gpt-6-astra,high,default,1,unclear,15.55,14.76,trace,83,98844,4935234,4835968,0,8907,1739,4944.1,6.274,6.274,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T00-07-24-01a07064-b992-7e22-9596-1de0018df0d6.jsonl
twopiles_tools1,two towers,04,20260905_004219_paper_twopiles_tools1_04,gpt-6-astra,high,default,1,unclear,23.8,22.64,trace,87,152562,6897213,6727936,0,11791,2439,6909.0,9.01,9.01,<HOME>/.codex/sessions/2026/09/05/rollout-2026-09-05T00-42-21-01a07084-ba7c-7e50-8971-85fbb8db18df.jsonl
