batch,model,model_id,backend,effort,tier,arm,trial,session,n_motion_calls,success,agent_verdict,task_started_s,report_start_s,first_report_s,task_complete_s,time_min,time_first_report_min,session_min,n_report_writes,robot_calls_after_first_report,requests,max_req_input,tokens_input,tokens_cached,tokens_cache_write,tokens_output,tokens_reasoning,tokens_k,cost_usd,rollout
twopairs_full_high_56sol,GPT-5.6 Sol,gpt-5.6-sol,codex,high,default,left,01,20260910_121811_paper_twopairs_full_high_56sol_01,27,1,success,1789067894.11,1789068803.925454,1789068803.925454,1789068839.512,15.164,15.164,15.82,1,0,87,159599,7784836,7600384,0,28517,12059,7813.353,4.3483,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T12-18-14-01a08cc1-9d08-7382-a8fd-0e6bf141d2f2.jsonl
twopairs_full_high_56sol,GPT-5.6 Sol,gpt-5.6-sol,codex,high,default,left,02,20260910_124138_paper_twopairs_full_high_56sol_02,25,1,success,1789069301.043,1789070229.167169,1789070229.167169,1789070296.59,15.469,15.469,16.8,1,2,90,151098,7806644,7646208,0,27173,13212,7833.817,4.2437,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T12-41-40-01a08cd7-14db-7ac2-bf44-6c3a2f730124.jsonl
twopairs_full_high_56sol,GPT-5.6 Sol,gpt-5.6-sol,codex,high,default,left,03,20260910_130635_paper_twopairs_full_high_56sol_03,26,1,success,1789070797.876,1789071953.645202,1789071877.44731,1789071978.124,19.263,17.993,19.8,2,1,99,176370,9680634,9490944,0,37239,18069,9717.873,5.2999,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T13-06-37-01a08ced-ebde-7273-8b4c-cec5fc86906a.jsonl
twopairs_full_high_56sol,GPT-5.6 Sol,gpt-5.6-sol,codex,high,default,left,04,20260910_134009_paper_twopairs_full_high_56sol_04,26,1,success,1789072812.433,1789073549.850166,1789073500.426027,1789073573.25,12.29,11.467,12.82,2,1,72,146789,6135442,5988864,0,20964,10602,6156.406,3.4011,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T13-40-12-01a08d0c-a930-7cc1-8ae2-31b78aaa159c.jsonl
twopairs_full_high_56sol,GPT-5.6 Sol,gpt-5.6-sol,codex,high,default,left,05,20260910_135325_paper_twopairs_full_high_56sol_05,23,1,success,1789073607.843,1789074151.54093,1789074107.816658,1789074167.482,9.062,8.333,9.55,2,1,56,116971,4104574,3969792,0,13485,5538,4118.059,2.3967,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T13-53-27-01a08d18-cc52-7fc3-9635-71e1f5fc58ad.jsonl
twopairs_full_high_56terra,GPT-5.6 Terra,gpt-5.6-terra,codex,high,default,left,01,20260910_140416_paper_twopairs_full_high_56terra_01,44,0,fail,1789074259.68,1789076085.365085,1789076085.365085,1789076130.702,30.428,30.428,31.32,1,0,79,127620,6284014,6118784,0,40447,23797,6324.461,2.0396,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T14-04-19-01a08d22-be8c-7172-9b04-bf790acb5a15.jsonl
twopairs_full_high_56terra,GPT-5.6 Terra,gpt-5.6-terra,codex,high,default,left,02,20260910_143952_paper_twopairs_full_high_56terra_02,28,0,success,1789076394.901,1789077718.581746,1789077685.936744,1789077736.165,22.061,21.517,22.55,3,0,78,115355,5108249,4859264,0,32214,18449,5140.463,1.8564,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T14-39-54-01a08d43-5348-7691-93d6-50e76434e864.jsonl
twopairs_full_high_56terra,GPT-5.6 Terra,gpt-5.6-terra,codex,high,default,left,03,20260910_150447_paper_twopairs_full_high_56terra_03,47,0,unclear,1789077889.624,1789079173.393082,1789079173.393082,1789079200.824,21.396,21.396,22.05,1,0,117,135678,8950932,8725248,0,35323,18222,8986.255,2.6203,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T15-04-49-01a08d5a-21f5-7351-93b0-941dcf14b078.jsonl
twopairs_full_high_56terra,GPT-5.6 Terra,gpt-5.6-terra,codex,high,default,left,04,20260910_153132_paper_twopairs_full_high_56terra_04,29,1,success,1789079494.737,1789080634.269901,1789080591.437188,1789080650.169,18.992,18.278,19.3,2,1,90,132659,6249853,6063104,0,32423,17979,6282.276,1.9752,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T15-31-34-01a08d72-a006-7c12-8b1f-681170870392.jsonl
twopairs_full_high_56terra,GPT-5.6 Terra,gpt-5.6-terra,codex,high,default,left,05,20260910_160051_paper_twopairs_full_high_56terra_05,24,0,fail,1789081254.202,1789082119.136077,1789082119.136077,1789082151.694,14.416,14.416,15.05,1,1,57,74071,2675368,2569984,0,22301,12554,2697.669,0.9924,<HOME>/.codex/sessions/2026/09/10/rollout-2026-09-10T16-00-54-01a08d8d-78dd-7c53-9fba-44ddf1294094.jsonl
