kind,task,no,session,model,tier,duration_s,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,source
trial,pyramid,01,20260904_155618_paper_pyramid_tools1_01,gpt-6-astra,fast,1053,6348524,6225792,122732,14301,3144,turn.completed
trial,pyramid,02,20260904_161611_paper_pyramid_tools1_02,gpt-6-astra,fast,1428,8639214,8457344,181870,17461,4869,turn.completed
trial,pyramid,03,20260904_164513_paper_pyramid_tools1_03,gpt-6-astra,fast,1729,11105561,10723968,381593,14796,5949,turn.completed
trial,pyramid,04,20260904_171625_paper_pyramid_tools1_04,gpt-6-astra,fast,934,6255375,6124800,130575,11546,1747,turn.completed
trial,pyramid,05,20260904_173848_paper_pyramid_tools1_05,gpt-6-astra,fast,1998,12920603,12757376,163227,15948,4387,turn.completed
trial,pyramid,06,20260904_181345_paper_pyramid_tools1_06,gpt-6-astra,fast,1249,11128630,10867072,261558,16453,4737,turn.completed
trial,pyramid,07,20260904_184812_paper_pyramid_tools1_07,gpt-6-astra,fast,1053,6839973,6711424,128549,13708,2893,turn.completed
scatter,pyramid,07,20260904_192824_scatter_tools1_07,gpt-6-astra,default,1141,8579671,8427904,151767,14145,4044,turn.completed
trial,pyramid,08,20260904_195435_paper_pyramid_tools1_08,gpt-6-astra,fast,1113,9233291,9077248,156043,12471,3000,turn.completed
trial,pyramid,09,20260904_201514_paper_pyramid_tools1_09,gpt-6-astra,fast,1489,9929938,9736704,193234,23165,6747,turn.completed
trial,pyramid,10,20260904_204355_paper_pyramid_tools1_10,gpt-6-astra,fast,1383,9842687,9687168,155519,15416,4658,turn.completed
scatter,twopiles,00,20260904_213711_scatter_tools1_00,gpt-6-astra,default,970,4816941,4695168,121773,15001,4391,turn.completed
trial,twopiles,01,20260904_215438_paper_twopiles_tools1_01,gpt-6-astra,default,1309,7598951,7460608,138343,14590,2334,turn.completed
scatter,twopiles,01,20260904_221636_scatter_tools1_01,gpt-6-astra,default,1811,7497618,7166208,331410,15984,3485,rollout
scatter,twopiles,00,20260904_230029_scatter_tools1_00,gpt-6-astra,default,1281,7041641,6869248,172393,13936,2569,turn.completed
trial,twopiles,02,20260904_232204_paper_twopiles_tools1_02,gpt-6-astra,default,1218,7789874,7650816,139058,12786,2614,turn.completed
scatter,twopiles,02,20260904_234232_scatter_tools1_02,gpt-6-astra,default,1233,5032075,4917888,114187,14567,3100,turn.completed
scatter,twopiles,02,20260905_000316_scatter_tools1_02,gpt-6-astra,default,133,257360,229248,28112,3048,476,turn.completed
trial,twopiles,03,20260905_000722_paper_twopiles_tools1_03,gpt-6-astra,default,933,4935234,4835968,99266,8907,1739,turn.completed
scatter,twopiles,03,20260905_002304_scatter_tools1_03,gpt-6-astra,default,1144,9052579,8798720,253859,9773,2855,turn.completed
trial,twopiles,04,20260905_004219_paper_twopiles_tools1_04,gpt-6-astra,default,1428,6897213,6727936,169277,11791,2439,turn.completed
scatter,twopiles,04,20260905_010617_scatter_tools1_04,gpt-6-astra,default,1614,9171496,8908416,263080,14555,3255,turn.completed
trial,twopiles,05,20260905_013322_paper_twopiles_tools1_05,gpt-6-astra,default,1818,14373186,14189312,183874,16441,4790,turn.completed
scatter,twopiles,05,20260905_020350_scatter_tools1_05,gpt-6-astra,default,1013,5523181,5335424,187757,9113,1903,turn.completed
trial,twopiles,06,20260905_022055_paper_twopiles_tools1_06,gpt-6-astra,default,1518,9568187,9421312,146875,15979,3156,turn.completed
scatter,twopiles,06,20260905_024623_scatter_tools1_06,gpt-6-astra,default,1393,6677342,6499072,178270,14689,4026,turn.completed
trial,twopiles,07,20260905_030947_paper_twopiles_tools1_07,gpt-6-astra,default,1113,5969773,5801728,168045,12495,1960,turn.completed
scatter,twopiles,07,20260905_032830_scatter_tools1_07,gpt-6-astra,default,1124,7246099,7018880,227219,8416,2285,turn.completed
trial,twopiles,08,20260905_034725_paper_twopiles_tools1_08,gpt-6-astra,default,1129,7785735,7588736,196999,9588,1351,turn.completed
scatter,twopiles,08,20260905_040623_scatter_tools1_08,gpt-6-astra,default,1194,4600834,4488320,112514,11057,3848,turn.completed
trial,twopiles,09,20260905_042628_paper_twopiles_tools1_09,gpt-6-astra,default,1383,9236847,9066368,170479,12027,2591,turn.completed
scatter,twopiles,09,20260905_044941_scatter_tools1_09,gpt-6-astra,default,1253,7487579,7316352,171227,11867,1138,turn.completed
trial,twopiles,10,20260905_051046_paper_twopiles_tools1_10,gpt-6-astra,default,1083,5106496,5007104,99392,11121,2162,turn.completed
scatter,twopiles,10,20260905_052858_scatter_tools1_10,gpt-6-astra,default,1194,6989902,6818432,171470,12024,1123,turn.completed
