batch,trial,model,verdict,source,counts_toward_paper
assembly_bare_high,01,gpt-6-astra,success,astra_self,true
assembly_bare_low,01,gpt-6-astra,success,astra_self,true
assembly_bare_medium,01,gpt-6-astra,success,astra_self,true
assembly_bare_medium,04,gpt-6-astra,success,astra_self,true
assembly_full_high_right,01,gpt-6-astra,success,astra_self,true
assembly_full_high_right,02,gpt-6-astra,success,astra_self,true
assembly_full_high_right,03,gpt-6-astra,fail,timed_out,true
assembly_full_high_right,04,gpt-6-astra,success,astra_self,true
assembly_full_high_right,05,gpt-6-astra,fail,timed_out,true
assembly_full_high_right,06,gpt-6-astra,success,astra_self,true
assembly_full_high_right,07,gpt-6-astra,success,astra_self,true
assembly_full_high_right,08,gpt-6-astra,success,astra_self,true
assembly_full_high_right,09,gpt-6-astra,success,astra_self,true
assembly_full_high_right,10,gpt-6-astra,success,astra_self,true
dice_tools1,01,gpt-6-astra,success,paper_code,true
dice_tools1,02,gpt-6-astra,success,paper_code,true
dice_tools1,03,gpt-6-astra,success,astra_self,true
dice_tools1,04,gpt-6-astra,success,astra_self,true
dice_tools1,05,gpt-6-astra,success,astra_self,true
dice_tools1,06,gpt-6-astra,success,astra_self,true
dice_tools1,07,gpt-6-astra,success,astra_self,true
dice_tools1,08,gpt-6-astra,success,astra_self,true
dice_tools1,09,gpt-6-astra,success,astra_self,true
dice_tools1,10,gpt-6-astra,success,astra_self,true
onebigpile_tools1,01,gpt-6-astra,success,paper_code,true
onebigpile_tools1,02,gpt-6-astra,fail,paper_code,true
onebigpile_tools1,03,gpt-6-astra,success,paper_code,true
onebigpile_tools1,04,gpt-6-astra,success,paper_code,true
onebigpile_tools1,05,gpt-6-astra,success,paper_code,true
onebigpile_tools1,06,gpt-6-astra,success,astra_self,true
onebigpile_tools1,07,gpt-6-astra,success,astra_self,true
onebigpile_tools1,08,gpt-6-astra,success,astra_self,true
onebigpile_tools1,09,gpt-6-astra,success,astra_self,true
onebigpile_tools1,10,gpt-6-astra,success,astra_self,true
pyramid,01,gpt-6-astra,success,astra_self,true
pyramid,02,gpt-6-astra,success,astra_self,true
pyramid_tools1,01,gpt-6-astra,success,paper_code,true
pyramid_tools1,02,gpt-6-astra,success,paper_code,true
pyramid_tools1,03,gpt-6-astra,success,paper_code,true
pyramid_tools1,04,gpt-6-astra,success,paper_code,true
pyramid_tools1,05,gpt-6-astra,success,paper_code,true
pyramid_tools1,06,gpt-6-astra,success,paper_code,true
pyramid_tools1,07,gpt-6-astra,success,paper_code,true
pyramid_tools1,08,gpt-6-astra,success,paper_code,true
pyramid_tools1,09,gpt-6-astra,success,paper_code,true
pyramid_tools1,10,gpt-6-astra,success,paper_code,true
singleinsert_bare_medium_yield,01,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch,01,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch_v2,01,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch_v2,02,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch_v2,03,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch_v2_kn,01,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch_v2_kn,02,gpt-6-astra,success,astra_self,true
singleinsert_bare_medium_yieldbatch_v2_kn,03,gpt-6-astra,success,astra_self,true
towel2_full_high_yieldbatch_v2_kn_dual,01,gpt-6-astra,fail,results_csv,true
towel2_full_high_yieldbatch_v2_kn_dual,02,gpt-6-astra,success,results_csv,true
towel2_full_high_yieldbatch_v2_kn_dual,03,gpt-6-astra,fail,results_csv,true
towel2_full_high_yieldbatch_v2_kn_dual,04,gpt-6-astra,success,results_csv,true
towel2_full_high_yieldbatch_v2_kn_dual,05,gpt-6-astra,success,results_csv,true
towel_full_high_yieldbatch_v2_kn_dual,01,gpt-6-astra,success,results_csv,true
towel_full_high_yieldbatch_v2_kn_dual,02,gpt-6-astra,success,results_csv,true
towel_full_high_yieldbatch_v2_kn_dual,03,gpt-6-astra,success,results_csv,true
towel_full_high_yieldbatch_v2_kn_dual,04,gpt-6-astra,success,results_csv,true
towel_full_high_yieldbatch_v2_kn_dual,05,gpt-6-astra,success,results_csv,true
towel_full_medium_yieldbatch_v2_kn_dual,01,gpt-6-astra,fail,astra_self,true
twopairs_full_high_56luna,05,gpt-5.6-luna,fail,claude_review,true
twopairs_full_high_56luna_right,01,gpt-5.6-luna,fail,claude_review,true
twopairs_full_high_56luna_right,02,gpt-5.6-luna,fail,timed_out,true
twopairs_full_high_56sol,01,gpt-5.6-sol,success,paper_code,true
twopairs_full_high_56sol,02,gpt-5.6-sol,success,paper_code,true
